study_id,source,year,metric,raw_value,raw_unit,minutes_per_day,switches_per_day,sample_size,observation_days,method,population,scope,comparability,normalization_formula,chart_label,source_url,page_or_section,notes
rogers_monsell_1995,Journal of Experimental Psychology General,1995,residual_switch_cost,150,ms,,,,6,experiment,general_population,task_switching,derived,,"Rogers & Monsell 1995 · 150-200ms switch cost",https://ora.ox.ac.uk/objects/uuid:6180113d-b831-419b-8716-46652110880d,,"150-200ms slower on switch trials even with 1.2s preparation time"
meiran_1996,Journal of Experimental Psychology,1996,cued_task_switching,,,,,,,experiment,general_population,task_switching,supporting,,"Meiran 1996 · Cued task switching",https://cognitionlab.com/project/task-switching/,,"Developed cued task-switching paradigm; switch costs reduced with long cue-stimulus intervals"
kirmeyer_1988,Journal of Applied Psychology,1988,interruption_frequency,7,per_hour,,56,,,observational,office_workers,interruptions,derived,56*3,"Kirmeyer 1988 · 7 interruptions/hour",https://psycnet.apa.org/record/1988-35296-001,,"Office workers interrupted 7 times per hour on average"
mayr_kliegl_2000,Journal of Experimental Psychology,2000,retrieval_switch_cost,,,,48,,experiment,young_and_old_adults,task_switching,supporting,,"Mayr & Kliegl 2000 · LTM retrieval in switching",https://bpb-us-e1.wpmucdn.com/blogs.uoregon.edu/dist/b/15699/files/2019/11/MayrKliegl2000JEPLMC.pdf,,"Switch costs larger when switched-to task involves high retrieval demands"
rubinstein_2001,Journal of Experimental Psychology HPP,2001,productivity_loss,40,percent,192,,108,,experiment,young_adults,task_switching,direct,(40/100)*480,"Rubinstein 2001 · 40% productivity loss",https://www.apa.org/pubs/journals/releases/xhp274763.pdf,,"Task switching can consume up to 40% of productive time; two stages: goal shifting and rule activation"
jackson_2001,Journal of Systems and Information Technology,2001,email_recovery_time,64,seconds,,,16,,computer_telemetry,office_workers,interruptions,derived,(64/60),"Jackson 2001 · 64 sec email recovery",https://interruptions.net/literature/Jackson-JOSIT-01.pdf,,"64-second recovery time after email interruption; 70% of emails viewed within 6 seconds"
strayer_johnston_2001,Psychological Science,2001,detection_failure,100,percent_increase,,,,,experiment,drivers,interruptions,not_comparable,,"Strayer 2001 · 2x signal detection failure",https://journals.sagepub.com/doi/10.1111/1467-9280.00386,,"Cell phone conversations caused twofold increase in failure to detect traffic signals"
altmann_trafton_2002,Cognitive Science,2002,interruption_lag,1,seconds,,,,,theory,general_population,interruptions,supporting,,"Altmann & Trafton 2002 · Goal activation model",https://en.wikipedia.org/wiki/Task_switching_(psychology),,"1-2 second interruption lag helps encode suspended goals for later retrieval"
jackson_2003,Communications of the ACM,2003,email_interruption_frequency,5,minutes_between,,,16,,computer_telemetry,office_workers,interruptions,supporting,,"Jackson 2003 · Email every 5 minutes",https://cacm.acm.org/magazines/2003/8/6754-understanding-email-interaction-increases-organizational-productivity/abstract,,"Workers interrupted by email every 5 minutes; recommended checking no more than every 45 minutes"
gonzalez_mark_2004,CHI 2004,2004,task_duration,3,minutes_per_task,,,25,,observational,information_workers,task_switching,direct,,"Gonzalez & Mark 2004 · 3 min per task",https://ics.uci.edu/~gmark/CHI2004.pdf,,"Workers average only 3 minutes on a task before switching"
czerwinski_2004,CHI 2004,2004,task_interleaving,,,,,,,diary_study,information_workers,task_switching,supporting,,"Czerwinski 2004 · Task interleaving diary",https://www.microsoft.com/en-us/research/publication/a-diary-study-of-task-switching-and-interruptions/,,"Week-long study revealed high complexity of task interleaving"
cmu_sei_2004,Carnegie Mellon SEI,2004,multiproject_overhead,80,percent,384,,,,analysis,engineers,task_switching,direct,(80/100)*480,"CMU SEI 2004 · 80% lost at 5 projects",https://www.sei.cmu.edu,,"At 5 simultaneous projects only 20% energy on actual work; 80% lost to context switching"
mark_2005,CHI 2005,2005,time_to_return,23.25,minutes,23.25,,24,,observational,information_workers,interruptions,direct,,"Mark 2005 · 23 min 15 sec to return",https://ics.uci.edu/~gmark/CHI2005.pdf,,"23 minutes 15 seconds average to return to original task; 57% of working spheres interrupted"
mark_2005_b,CHI 2005,2005,interrupt_frequency,10.5,minutes_between,,46,24,,observational,information_workers,interruptions,derived,480/10.5,"Mark 2005 · Interrupted every 10.5 min",https://ics.uci.edu/~gmark/CHI2005.pdf,,"Workers switch task spheres every ~10.5 minutes"
o_conaill_frohlich_1995,CHI 1995,1995,interruption_recovery,2,minutes,40,,10,,observational,office_workers,interruptions,direct,20*2,"O'Conaill 1995 · 2 min recovery each",https://dl.acm.org/doi/10.1145/223904.223941,,"Workers interrupted every 20 min; 2 min recovery each"
czerwinski_2000,ACM TOCHI,2000,daily_interruptions,20,per_day,,20,,,observational,information_workers,interruptions,supporting,,"Czerwinski 2000 · 20 interruptions/day",https://dl.acm.org/doi/10.1145/355580.355585,,"Knowledge workers experience ~20 significant interruptions per day"
iqbal_horvitz_2007,CHI 2007,2007,email_switch_duration,10,minutes,10,,,,computer_telemetry,office_workers,interruptions,direct,,"Iqbal & Horvitz 2007 · 10 min email switch",https://www.microsoft.com/en-us/research/wp-content/uploads/2016/11/CHI_2007_Iqbal_Horvitz-1.pdf,,"Email/IM alerts cause 10-minute task switches plus 10-15 additional minutes"
hudson_2002,CHI 2002,2002,interruption_awareness,,,30,,,,observational,office_workers,interruptions,direct,,"Hudson 2002 · 30 min awareness lag",https://dl.acm.org/doi/10.1145/503376.503394,,"Workers often unaware of 30+ min lost to interruption cascades"
mark_2008,CHI 2008,2008,interrupted_speed,7,percent_faster,,,48,,experiment,office_workers,interruptions,not_comparable,,"Mark 2008 · 7% faster but stressed",https://ics.uci.edu/~gmark/chi08-mark.pdf,,"Interrupted tasks completed ~7% faster but with significantly higher stress and frustration"
leroy_2009,Organizational Behavior and Human Decision Processes,2009,attention_residue,,,25,,,,experiment,office_workers,task_switching,direct,,"Leroy 2009 · Attention residue",https://www.researchgate.net/publication/46489122_Why_is_it_so_Hard_to_do_My_Work_The_Challenge_of_Attention_Residue_when_Switching_Between_Work_Tasks,,"Part of attention remains on previous task after switching reducing performance on new task"
ophir_nass_wagner_2009,PNAS,2009,multitasker_performance,,,,,,,experiment,stanford_undergraduates,task_switching,supporting,,"Ophir 2009 · Heavy multitaskers worse",https://www.pnas.org/doi/10.1073/pnas.0903620106,,"Heavy media multitaskers more susceptible to irrelevant stimuli; slower at task switching"
parnin_rugaber_2010,CHI 2010,2010,resume_edit_time,15,minutes,15,,10086,,computer_telemetry,programmers,interruptions,direct,,"Parnin 2010 · 15 min to resume coding",https://dl.acm.org/doi/pdf/10.1145/1753326.1753342,,"Programmers take 10-15 minutes to start editing after interruption; only 10% resumed in <1 minute"
kiesel_2010,Psychological Bulletin,2010,switch_cost_review,,,,,,,review,general_population,task_switching,supporting,,"Kiesel 2010 · Switch cost meta-analysis",https://pubmed.ncbi.nlm.nih.gov/20804238/,,"Comprehensive review confirming consistent switch costs across paradigms"
freeman_muraven_2010,Self and Identity,2010,cognitive_flexibility,,,30,,,,experiment,general_population,task_switching,direct,,"Freeman 2010 · Reduced flexibility",https://psycnet.apa.org/record/2010-02506-004,,"Unfinished tasks reduce cognitive flexibility by consuming working memory"
mark_2012,CHI 2012,2012,email_response_time,6,seconds,,,13,5,computer_telemetry,information_workers,interruptions,supporting,,"Mark 2012 · 70% emails in 6 sec",https://dl.acm.org/doi/abs/10.1145/2207676.2207754,,"70% of emails attended to within 6 seconds of arrival"
realization_2013,Realization Study,2013,global_multitasking_cost,450,billion_usd,,,45,,survey,organizations,interruptions,not_comparable,,"Realization 2013 · $450B global cost",https://www.prnewswire.com/news-releases/study-organizational-multitasking-costs-global-businesses-450-billion-each-year-221154011.html,,"Organizational multitasking costs global economy $450B annually; reducing it increased throughput 59.8%"
syrek_antoni_2014,Journal of Organizational Behavior,2014,sleep_impairment,,,,,,,experiment,office_workers,interruptions,supporting,,"Syrek 2014 · Unfinished tasks impair sleep",https://onlinelibrary.wiley.com/journal/10991379,,"Incomplete work tasks carried into evening impair sleep quality"
meyer_2014,FSE 14,2014,perceived_productivity,,,,,390,,survey,software_developers,task_switching,supporting,,"Meyer 2014 · Developer productivity perceptions",https://dl.acm.org/doi/abs/10.1145/2635868.2635892,,"Developers perceive days as productive when completing tasks without interruptions"
stothart_2015,Journal of Experimental Psychology HPP,2015,notification_cost,,,20,,,,experiment,general_population,interruptions,direct,,"Stothart 2015 · Notification disruption",https://pubmed.ncbi.nlm.nih.gov/26121498/,,"Cell phone notifications significantly disrupt performance even without interaction with device"
mckinseyflow_2015,McKinsey,2015,time_in_flow,5,percent,24,,,,survey,knowledge_workers,interruptions,direct,(5/100)*480,"McKinsey 2015 · Only 5% time in flow",https://www.forbes.com/sites/stevenkotler/2014/01/08/the-research-is-in-a-four-letter-word-that-starts-with-f-is-the-real-secret-to-ultimate-human-performance/,,"Knowledge workers spend only 5% of work time in flow state"
kushlev_2016,CHI 2016,2016,notification_inattention,,,45,,221,,experiment,general_population,interruptions,direct,,"Kushlev 2016 · Notifications cause inattention",https://www.researchgate.net/publication/291618379_Silence_Your_Phones_Smartphone_Notifications_Increase_Inattention_and_Hyperactivity_Symptoms,,"Maximizing phone interruptions increased inattention and hyperactivity symptoms similar to ADHD"
developer_2017,ResearchGate,2017,tasks_never_resumed,29,percent,,,,,observational,software_developers,interruptions,supporting,,"Dev 2017 · 29% tasks never resumed",https://www.researchgate.net,,"29% of interrupted developer tasks are never resumed"
udemy_2018,Udemy Workplace Report,2018,distraction_impact,2,hours_per_day,120,,1000,,survey,knowledge_workers,interruptions,direct,,"Udemy 2018 · 2 hrs/day distracted",https://research.udemy.com/research/2018-workplace-distraction-report/,,"Workers report losing 2 hours per day to workplace distractions"
bernstein_turban_2018,Phil Trans Royal Society B,2018,f2f_interaction_drop,70,percent,,,150,,observational,office_workers,interruptions,supporting,,"Bernstein 2018 · 70% less f2f in open office",https://pubmed.ncbi.nlm.nih.gov/29967303/,,"Face-to-face interactions dropped 70% after transitioning to open-plan offices"
weigelt_2019,Work and Stress,2019,satisfaction_impact,,,,,,,experiment,office_workers,interruptions,supporting,,"Weigelt 2019 · Reduced work satisfaction",https://www.tandfonline.com/toc/twst20/current,,"Incomplete tasks reduce competence feelings and work satisfaction"
bialowolski_2020,Academic Publication,2020,productivity_loss_from_distraction,93.6,percent_of_total,,,,,survey,manufacturer_employees,interruptions,supporting,,"Bialowolski 2020 · 93.6% loss from distraction",https://link.springer.com/article/10.1007/s11301-022-00316-2,,"93.6% of annual productivity loss due to distractions vs 6.4% from health-related absenteeism"
loom_2020,Loom Async Report,2020,meeting_overload,31,percent,149,,1500,,survey,remote_workers,interruptions,direct,(31/100)*480,"Loom 2020 · 31% time in meetings",https://www.loom.com,,"Remote workers spend 31% of workday in meetings during pandemic shift"
bailenson_2021,Technology Mind and Behavior,2021,zoom_fatigue,4,causes,,,3124,,survey,remote_workers,interruptions,not_comparable,,"Bailenson 2021 · Zoom fatigue causes",https://neuroscience.stanford.edu/news/stanford-study-shows-why-we-get-zoom-fatigue-and-what-do-about-it,,"4 causes of Zoom fatigue: excessive eye contact hyper-arousal self-viewing cognitive load reduced mobility"
qatalog_2021,Qatalog/Cornell,2021,app_switch_recovery,9.5,minutes_per_switch,,,1000,,survey,knowledge_workers,reorientation,not_comparable,,"Qatalog 2021 · 9.5 min recovery",https://www.ciodive.com/news/app-switching-enterprise-productivity-software-qatalog/602082/,,"9.5 minutes on average to get back into productive workflow after switching apps"
qatalog_2021_b,Qatalog/Cornell,2021,time_searching_info,59,minutes_per_day,59,,1000,,survey,knowledge_workers,work_about_work,direct,,"Qatalog 2021 · 59 min/day searching",https://www.ciodive.com/news/app-switching-enterprise-productivity-software-qatalog/602082/,,"Workers spend 59 minutes per day searching for information across apps"
reclaim_2021,Reclaim.ai,2021,meeting_fragmentation,45,percent,216,,2000,,computer_telemetry,knowledge_workers,interruptions,direct,(45/100)*480,"Reclaim 2021 · 45% time fragmented",https://reclaim.ai/blog/productivity-trends-report,,"45% of work time fragmented by meetings and interruptions"
asana_2022,Asana Index,2022,work_about_work,60,percent,288,,9615,,survey,knowledge_workers,work_about_work,direct,(60/100)*480,"Asana 2022 · 60% work about work",https://asana.com/resources/anatomy-of-work-index,,"Knowledge workers spend 60% of time on work about work (coordination chasing updates switching)"
asana_2022_b,Asana Index,2022,daily_app_switches,25,switches,,,9615,,survey,knowledge_workers,app_switching,supporting,25,"Asana 2022 · 25 app switches/day",https://asana.com/resources/anatomy-of-work-index,,"Workers switch between 10 different apps about 25 times per day"
soroco_2022,HBR/Soroco,2022,reorientation_after_app_switching,4,hours_per_week,48,1200,137,3200,computer_telemetry,knowledge_workers,app_switching,direct,(4*60)/5,"HBR/Soroco 2022 · 48 min/day",https://hbr.org,,"Nearly 1200 app toggles per day; 4 hours per week spent reorienting"
hubspot_2022,HubSpot,2022,sales_admin_time,41,percent,197,,1000,,survey,sales_professionals,work_about_work,direct,(41/100)*480,"HubSpot 2022 · 41% on non-selling",https://www.hubspot.com/state-of-sales,,"Sales reps spend only 28% of time selling; 41% on admin/data entry"
clockify_2022,Clockify,2022,productive_hours,2.9,hours_per_day,174,,,,computer_telemetry,knowledge_workers,interruptions,direct,480-174,"Clockify 2022 · 2.9 hrs productive",https://clockify.me/blog/productivity/productivity-statistics/,,"Average worker productive only 2.9 hours of 8-hour day"
gibbs_2023,Journal of Political Economy Microeconomics,2023,remote_work_productivity_loss,19,percent,91,,10000,,computer_telemetry,IT_professionals,task_switching,direct,(19/100)*480,"Gibbs 2023 · 19% remote productivity loss",https://www.journals.uchicago.edu/doi/full/10.1086/721803,,"Productivity fell 8-19% during remote work; uninterrupted work hours shrank considerably"
mark_2023,UC Irvine,2023,attention_span,47,seconds,,,,,observational,office_workers,attention,supporting,,"Mark 2023 · 47 sec attention span",https://ics.uci.edu/~gmark/,,"Attention spans on screens collapsed from 2.5 minutes (2003) to 47 seconds (2023)"
activtrak_2023,ActivTrak,2023,collaboration_surge,34,percent,163,,,,computer_telemetry,knowledge_workers,interruptions,direct,,"ActivTrak 2023 · 34% more collaboration",https://www.activtrak.com,,"Collaboration time surged 34% between 2023-2025"
rescuetime_2024,RescueTime,2024,daily_task_switches,47,switches,,47,,,computer_telemetry,knowledge_workers,task_switching,supporting,47,"RescueTime 2024 · 47 task switches/day",https://blog.rescuetime.com/context-switching/,,"Average worker switches between tasks 47 times daily"
rescuetime_2024_b,RescueTime,2024,email_check_frequency,6,minutes,,,,,computer_telemetry,knowledge_workers,interruptions,supporting,,"RescueTime 2024 · Email every 6 min",https://blog.rescuetime.com/context-switching/,,"Workers check email or IM every 6 minutes on average"
rescuetime_2024_c,RescueTime,2024,productive_time,2.8,hours_per_day,312,,,,computer_telemetry,knowledge_workers,interruptions,direct,480-168,"RescueTime 2024 · 5.2 hrs unproductive",https://blog.rescuetime.com/productivity-in-the-workplace/,,"Knowledge workers average only 2.8 hrs productive; 5.2 hrs lost"
slack_2024,Slack State of Work,2024,app_toggling,32,times_per_hour,,256,5000,,computer_telemetry,knowledge_workers,app_switching,supporting,256,"Slack 2024 · 32 app switches/hour",https://slack.com/blog/productivity,,"Workers toggle between apps 32 times per hour during peak work"
grammarly_2024,Grammarly,2024,poor_communication_cost,19,percent,91,,1000,,survey,knowledge_workers,interruptions,direct,(19/100)*480,"Grammarly 2024 · 19% to miscommunication",https://www.grammarly.com/business/state-of-business-communication,,"Poor communication causes 19% productivity loss requiring rework and clarification"
atlassian_2025,Atlassian State of Teams,2025,annual_hours_lost,25,billion_hours,,,,,survey,global_workforce,interruptions,not_comparable,,"Atlassian 2025 · 25B hours lost",https://www.atlassian.com/blog/state-of-teams-2025,,"25 billion work hours lost annually due to ineffective collaboration"
atlassian_2025_b,Atlassian State of Teams,2025,time_searching,25,percent,120,,,,survey,leaders_and_teams,work_about_work,direct,(25/100)*480,"Atlassian 2025 · 25% time searching",https://www.atlassian.com/blog/state-of-teams-2025,,"Leaders and teams waste 25% of their time searching for answers"
microsoft_2025,Microsoft Work Trend Index,2025,interruption_frequency,2,minutes_between,,240,31000,,telemetry,m365_users,interruptions,supporting,,"Microsoft 2025 · Interrupted every 2 min",https://www.microsoft.com/en-us/worklab/work-trend-index,,"Workers interrupted every 2 minutes by meetings emails or notifications"
microsoft_2025_b,Microsoft Work Trend Index,2025,daily_interruptions,275,interruptions,,275,31000,,telemetry,m365_users,interruptions,supporting,275,"Microsoft 2025 · 275 interruptions/day",https://www.microsoft.com/en-us/worklab/work-trend-index,,"Top 20% of users receive 275 interruptions per day"
deloitte_2025,Deloitte Research,2025,productivity_theater,10,hours_per_week,120,,,,survey,office_workers,work_about_work,direct,(10*60)/5,"Deloitte 2025 · 10 hr/wk theater",https://www.deloitte.com,,"43% of workers spend 10+ hrs/week on productivity theater looking busy"
deloitte_2025_b,Deloitte Research,2025,no_value_work,41,percent,197,,,,survey,office_workers,work_about_work,direct,(41/100)*480,"Deloitte 2025 · 41% adds no value",https://www.deloitte.com,,"41% of workday goes to tasks employees say add no value"
deloitte_2025_c,Deloitte Research,2025,app_toggling_loss,32,days_per_year,59,,,,survey,knowledge_workers,app_switching,direct,(32*480)/260,"Deloitte 2025 · 32 days/yr toggling",https://www.deloitte.com,,"32 days lost per year from toggling between workplace applications"
careerbuilder_2025,CareerBuilder,2025,daily_productivity_loss,2,hours_per_day,120,,,,survey,employers,interruptions,direct,,"CareerBuilder 2025 · 1-2 hrs lost/day",https://resources.careerbuilder.com/employer-blog/employers-battle-workforce-distraction,,"Over half of employers report losing 1-2 hours of productivity daily to distractions"
gallup_2025,Gallup State of Global Workplace,2025,disengagement_cost,10,trillion_usd,,,,,survey,global_workforce,interruptions,not_comparable,,"Gallup 2025 · $10T global cost",https://www.gallup.com/workplace/713024/employee-engagement-and-productivity.aspx,,"Low employee engagement costs global economy $8.9-$10 trillion annually (9% of global GDP)"
wylie_allport_2000,Psychological Research,2000,switch_cost_inertia,30,trials_persisting,,,,,lab,general_population,task_switching,supporting,,"Wylie & Allport 2000 · Switch costs persist 30+ trials",https://link.springer.com/article/10.1007/s004269900003,,"Performance affected for 30+ trials after switching; proactive interference from prior task-set"
monsell_2003,Trends in Cognitive Sciences,2003,residual_switch_cost,200,ms,,,,,review,general_population,task_switching,supporting,,"Monsell 2003 · 100-200ms residual cost",http://epa.psy.ntu.edu.tw/perception/pdf/Monsell_2003.pdf,,"Residual switch cost of 100-200ms persists even with 5+ seconds preparation time"
bailey_konstan_2006,Computers in Human Behavior,2006,interruption_timing_cost,27,percent,,,50,,lab,general_population,interruptions,derived,,"Bailey & Konstan 2006 · 3-27% slower",https://www.sciencedirect.com/science/article/abs/pii/S074756320500107X,,"Tasks completed 3-27% slower when interrupted; 2x errors; 31-106% more annoyance"
altmann_trafton_2007,Psychonomic Bulletin & Review,2007,recovery_curve,15,seconds,,,13000,,lab,general_population,interruptions,supporting,,"Altmann & Trafton 2007 · 15 sec recovery curve",https://link.springer.com/article/10.3758/BF03193094,,"13000+ interruption samples show curvilinear recovery over ~15 seconds"
chen_eeg_2015,Scientific Reports,2015,switch_p3_latency,350,ms,,,16,,lab,general_population,task_switching,supporting,,"Chen 2015 · P3 at 250-350ms",https://www.nature.com/articles/srep10240,,"EEG shows First P3 at 250-350ms and P3b at 400-500ms post-stimulus during task switching"
plos_feature_2016,PLOS ONE,2016,feature_switch_cost,,,,,40,,lab,general_population,task_switching,supporting,,"PLOS 2016 · Feature integration effects",https://journals.plos.org/plosone/article?id=10.1371%2Fjournal.pone.0151188,,"800 trials; stimulus/response repetition effects contribute to switch costs"
component_2022,Taylor & Francis,2022,cue_switch_cost,,,,,12533,,lab,general_population,task_switching,supporting,,"Component 2022 · Large-scale cue switch study",https://www.tandfonline.com/doi/full/10.1080/20445911.2022.2089153,,"N=14757 online; distinguished cue switch costs from task switch costs"
ma_icse_2024,ICSE 2024,2024,code_comprehension_recovery,45,minutes,,,20,,lab,software_developers,interruptions,direct,,"Ma 2024 · 30-45 min for architecture tasks",https://dl.acm.org/doi/10.1145/3597503.3639079,,"10-15 min to resume editing; 30-45 min full recovery for architecture/security tasks"
mit_attention_2024,MIT Attention Lab,2024,error_rate_increase,37,percent,,,,,lab,general_population,task_switching,supporting,,"MIT 2024 · 37% more errors",https://news.mit.edu/2024/multitasking-brain-study,,"Continuous task switching increases error rate 37%; working memory accuracy drops 20%"
iqbal_horvitz_2010,CSCW 2010,2010,email_notification_switch,25,percent,30,,20,1682,field,knowledge_workers,interruptions,direct,,"Iqbal & Horvitz 2010 · 25% notify→switch",https://dl.acm.org/doi/10.1145/1718918.1718926,,"3 notifications/hr; 25% cause immediate task switch; 1682 hours logged"
dabbish_2011,CHI 2011,2011,self_interruption_rate,44,percent,,,36,889,field,knowledge_workers,interruptions,supporting,,"Dabbish 2011 · 44% self-interruptions",https://dl.acm.org/doi/10.1145/1978942.1979405,,"889 hours observed; 44% of interruptions are self-initiated; higher in open offices"
parnin_rugaber_2011,Software Quality Journal,2011,code_resume_time,15,minutes,15,,86,10000,field,software_developers,interruptions,direct,,"Parnin 2011 · 10-15 min to start editing",https://link.springer.com/article/10.1007/s11219-010-9104-9,,"10000 sessions; only 10% resume in <1 min; 93% require navigation before editing"
mark_email_2012,CHI 2012,2012,email_free_focus,,,60,,13,5,field,knowledge_workers,interruptions,direct,,"Mark 2012 · Longer focus without email",https://dl.acm.org/doi/abs/10.1145/2207676.2207754,,"5 days without email: longer task focus; lower stress (HRV); less multitasking"
mark_attention_2014,CHI 2014,2014,focus_rhythm,,,,,32,5,field,knowledge_workers,attention,supporting,,"Mark 2014 · Focus peaks mid-afternoon",https://dl.acm.org/doi/10.1145/2556288.2557204,,"Focus peaks mid-afternoon; boredom highest 1PM; Monday most bored but most focused"
meyer_fse_2014,FSE 2014,2014,flow_productivity,50.4,percent,,,379,,field,software_developers,task_switching,supporting,,"Meyer 2014 · 50% cite flow as key",https://dl.acm.org/doi/abs/10.1145/2635868.2635892,,"50.4% of developers cite flow without context-switches as reason for productive day"
zuger_fritz_2015,CHI 2015,2015,interruptibility_prediction,70,percent_accuracy,,,20,,field,software_developers,interruptions,supporting,,"Zuger 2015 · 70%+ prediction accuracy",https://dl.acm.org/doi/10.1145/2702123.2702593,,"Biometric sensors predict interruptibility with r>0.7 correlation"
mark_neurotics_2016,CHI 2016,2016,focus_duration,40,seconds,,,40,10,field,knowledge_workers,attention,direct,,"Mark 2016 · 40 sec median focus",https://dl.acm.org/doi/abs/10.1145/2858036.2858202,,"Median online focus = 40 seconds; neuroticism = shorter focus duration"
zuger_flowlight_2017,CHI 2017,2017,interruption_reduction,46,percent,75,,449,,field,software_developers,interruptions,direct,,"Zuger 2017 · FlowLight 46% reduction",https://dl.acm.org/doi/10.1145/3025453.3025662,,"FlowLight reduced interruptions by 46%; 449 participants from 12 countries"
zuger_sensing_2018,CHI 2018,2018,interruptibility_accuracy,74.8,percent,,,13,14,field,software_developers,interruptions,supporting,,"Zuger 2018 · 74.8% accuracy",https://dl.acm.org/doi/10.1145/3173574.3174165,,"Computer interaction data predicts interruptibility at 74.8% accuracy"
meyer_goodday_2019,IEEE TSE,2019,productive_day_factors,,,,,5971,,survey,software_developers,task_switching,supporting,,"Meyer 2019 · Productive day = no interruptions",https://www.microsoft.com/en-us/research/publication/today-was-a-good-day-the-daily-life-of-software-developers/,,"Developers perceive productive days when completing tasks without interruptions"
kersten_murphy_2006,FSE 2006,2006,task_context_improvement,,,,,16,,field,software_developers,task_switching,supporting,,"Kersten & Murphy 2006 · Mylar productivity boost",https://dl.acm.org/doi/10.1145/1181775.1181777,,"Task-focused interface (Mylar/Mylyn) significantly improved edit ratio for 16 industry programmers"
jackson_2003_recovery,IJIM,2003,email_recovery_time,64,seconds,,,500,,field,office_workers,interruptions,direct,,"Jackson 2003 · 64 sec recovery",https://interruptions.net/literature/Jackson-IJIM03.pdf,,"70% emails attended within 6 sec; 64 sec recovery time; email every 5 min"
braver_2003,Neuron,2003,fmri_switch_activation,,,,,,,lab,general_population,task_switching,supporting,,"Braver 2003 · Prefrontal cortex switching",https://www.cell.com/neuron/fulltext/S0896-6273(03)00466-5,,"Right anterior PFC sustained activation; left lateral PFC transient during switches"
leroy_2009_residue,OBHDP,2009,attention_residue_effect,,,25,,,,lab,office_workers,task_switching,direct,,"Leroy 2009 · Attention residue persists",https://www.researchgate.net/publication/46489122_Why_is_it_so_Hard_to_do_My_Work,,"Part of attention remains on unfinished task; reduced accuracy and slower processing on Task B"
perlow_1999,Administrative Science Quarterly,1999,constant_interruptions,,,60,,12,270,field,software_engineers,interruptions,direct,,"Perlow 1999 · Engineers constant interruptions",https://www.interruptions.net/literature/Perlow-ASQ99.pdf,,"9-month study; engineers had difficulty completing work due to constant interruptions"
speier_1999,Decision Sciences,1999,interruption_complexity,,,,,,,lab,undergraduates,task_switching,supporting,,"Speier 1999 · Complex tasks hurt more",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-5915.1999.tb01613.x,,"Interruptions improved simple tasks but lowered performance on complex tasks"
